run_id,solver_hash,model,i_Dw,Dw,Omega,k,V,r,status,jump
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,1.0000000000e+01,2.150499970821e+01,4.650081439518e-01,9.897071e-07,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,1.2115276586e+01,2.605398577038e+01,4.650066478527e-01,8.198405e-07,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,1.4677992676e+01,3.156523317517e+01,4.650050451003e-01,6.809129e-07,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,1.7782794100e+01,3.824229339749e+01,4.650033384650e-01,5.656162e-07,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,2.1544346900e+01,4.633177580897e+01,4.650015356448e-01,4.687916e-07,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,2.6101572157e+01,5.613245573293e+01,4.649996479936e-01,3.867710e-07,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,3.1622776602e+01,6.800630831991e+01,4.649976948157e-01,3.169239e-07,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,3.8311868496e+01,8.239187614831e+01,4.649957045111e-01,2.573438e-07,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,4.6415888336e+01,9.982046454667e+01,4.649937119300e-01,2.066270e-07,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,5.6234132519e+01,1.209357613207e+02,4.649917601290e-01,1.637142e-07,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,6.8129206906e+01,1.465176066538e+02,4.649898975404e-01,1.277698e-07,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,8.2540418527e+01,1.775107908765e+02,4.649881740668e-01,9.808802e-08,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,0,1.0000000000e-02,1.0000000000e+02,2.150599454782e+02,4.649866332741e-01,7.401821e-08,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,1,1.2589254118e-02,1.0000000000e-03,2.144544428993e-03,4.662995023468e-01,1.789140e-07,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,1,1.2589254118e-02,1.2115276586e-03,2.598179464769e-03,4.662986814641e-01,2.449535e-07,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,1,1.2589254118e-02,1.4677992676e-03,3.147774356370e-03,4.662974856034e-01,3.365858e-07,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,1,1.2589254118e-02,1.7782794100e-03,3.813629936636e-03,4.662957443656e-01,4.642332e-07,resolved_min,0
20260906-130602,7cfda8cdc7345f93,B,1,1.2589254118e-02,2.1544346900e-03,4.620343299388e-03,4.662932060302e-01,6.427023e-07,resolved_min,0
