run_id,solver_hash,model,bc_phason,Omega,k,V,r,status,delta_pen
20260906-125819,7cfda8cdc7345f93,A,clamped,5.0118723363e-02,1.743382485787e-01,2.874797915622e-01,2.393543e-03,resolved_min,1.412466e+01
20260906-125819,7cfda8cdc7345f93,A,clamped,5.6234132519e-02,1.956107321960e-01,2.874797915622e-01,2.685745e-03,resolved_min,1.258861e+01
20260906-125819,7cfda8cdc7345f93,A,clamped,6.3095734448e-02,2.194788513834e-01,2.874797915622e-01,3.013593e-03,resolved_min,1.121961e+01
20260906-125819,7cfda8cdc7345f93,A,clamped,7.0794578438e-02,2.462593215812e-01,2.874797915622e-01,3.381434e-03,resolved_min,9.999492e+00
20260906-125819,7cfda8cdc7345f93,A,clamped,7.9432823472e-02,2.763075033580e-01,2.874797915622e-01,3.794142e-03,resolved_min,8.912057e+00
20260906-125819,7cfda8cdc7345f93,A,clamped,8.9125093813e-02,3.100221178297e-01,2.874797915622e-01,4.257187e-03,resolved_min,7.942879e+00
20260906-125819,7cfda8cdc7345f93,A,clamped,1.0000000000e-01,3.478505374467e-01,2.874797915622e-01,4.776701e-03,resolved_min,7.079098e+00
20260906-125819,7cfda8cdc7345f93,A,clamped,1.1220184543e-01,3.902947223541e-01,2.874797915622e-01,5.359565e-03,resolved_min,6.309253e+00
20260906-125819,7cfda8cdc7345f93,A,clamped,1.2589254118e-01,4.379178810980e-01,2.874797915622e-01,6.013492e-03,resolved_min,5.623128e+00
20260906-125819,7cfda8cdc7345f93,A,clamped,1.4125375446e-01,4.913519440607e-01,2.874797915622e-01,6.747133e-03,resolved_min,5.011618e+00
20260906-125819,7cfda8cdc7345f93,A,clamped,1.5848931925e-01,5.513059487933e-01,2.874797915622e-01,7.570185e-03,resolved_min,4.466609e+00
20260906-125819,7cfda8cdc7345f93,A,clamped,1.7782794100e-01,6.185754485125e-01,2.874797915622e-01,8.493517e-03,resolved_min,3.980869e+00
20260906-125819,7cfda8cdc7345f93,A,clamped,1.9952623150e-01,6.940530686091e-01,2.874797915622e-01,9.529304e-03,resolved_min,3.547954e+00
20260906-125819,7cfda8cdc7345f93,A,clamped,2.2387211386e-01,7.787403512444e-01,2.874797915622e-01,1.069118e-02,resolved_min,3.162117e+00
20260906-125819,7cfda8cdc7345f93,A,clamped,2.5118864315e-01,8.737610452058e-01,2.874797915622e-01,1.199437e-02,resolved_min,2.818240e+00
20260906-125819,7cfda8cdc7345f93,A,clamped,2.8183829313e-01,9.803760173710e-01,2.874797915622e-01,1.345591e-02,resolved_min,2.511759e+00
20260906-125819,7cfda8cdc7345f93,A,clamped,3.1622776602e-01,1.099999983645e+00,2.874797915622e-01,1.509470e-02,resolved_min,2.238607e+00
20260906-125819,7cfda8cdc7345f93,A,clamped,3.5481338923e-01,1.234220281382e+00,2.874797915622e-01,1.693159e-02,resolved_min,1.995161e+00
20260906-125819,7cfda8cdc7345f93,A,clamped,3.9810717055e-01,1.384817932384e+00,2.874797915622e-01,1.898912e-02,resolved_min,1.778189e+00
20260906-125819,7cfda8cdc7345f93,A,clamped,4.4668359215e-01,1.553791275984e+00,2.874797915622e-01,2.129010e-02,resolved_min,1.584813e+00
20260906-125819,7cfda8cdc7345f93,A,clamped,5.0118723363e-01,1.743382485787e+00,2.874797915622e-01,2.385045e-02,resolved_min,1.412466e+00
20260906-125819,7cfda8cdc7345f93,A,clamped,5.6234132519e-01,1.956107321960e+00,2.874797915622e-01,2.662237e-02,resolved_min,1.258861e+00
20260906-125819,7cfda8cdc7345f93,A,clamped,6.3095734448e-01,2.194788513834e+00,2.874797915622e-01,2.866018e-02,resolved_min,1.121961e+00
20260906-125819,7cfda8cdc7345f93,A,clamped,7.0794578438e-01,2.462593215812e+00,2.874797915622e-01,2.898859e-02,resolved_min,9.999492e-01
20260906-125819,7cfda8cdc7345f93,A,clamped,7.9432823472e-01,2.763075033580e+00,2.874797915622e-01,2.905806e-02,resolved_min,8.912057e-01
