Omega,Dw,model,V,Delta_BC_at_Dw
2.6101572157e-03,1.000000e+02,A,3.107268897290e-01,4.102500e-10
2.6101572157e-03,1.000000e+02,B,4.663011277059e-01,4.102500e-10
2.6101572157e-03,1.000000e+02,C,4.663011278972e-01,4.102500e-10
3.1622776602e-03,1.000000e+02,A,3.107268894685e-01,2.144490e-12
3.1622776602e-03,1.000000e+02,B,4.663011006628e-01,2.144490e-12
3.1622776602e-03,1.000000e+02,C,4.663011006638e-01,2.144490e-12
3.8311868496e-03,1.000000e+02,A,3.107268891818e-01,6.819630e-11
3.8311868496e-03,1.000000e+02,B,4.663010708952e-01,6.819630e-11
3.8311868496e-03,1.000000e+02,C,4.663010709270e-01,6.819630e-11
4.6415888336e-03,1.000000e+02,A,3.107268888662e-01,2.573412e-12
4.6415888336e-03,1.000000e+02,B,4.663010381288e-01,2.573412e-12
4.6415888336e-03,1.000000e+02,C,4.663010381300e-01,2.573412e-12
5.6234132519e-03,1.000000e+02,A,3.107268885190e-01,2.058756e-10
5.6234132519e-03,1.000000e+02,B,4.663010019714e-01,2.058756e-10
5.6234132519e-03,1.000000e+02,C,4.663010020674e-01,2.058756e-10
6.8129206906e-03,1.000000e+02,A,3.107268881353e-01,4.288981e-12
6.8129206906e-03,1.000000e+02,B,4.663009623711e-01,4.288981e-12
6.8129206906e-03,1.000000e+02,C,4.663009623731e-01,4.288981e-12
8.2540418527e-03,1.000000e+02,A,3.107268877124e-01,1.321035e-10
8.2540418527e-03,1.000000e+02,B,4.663009186211e-01,1.321035e-10
8.2540418527e-03,1.000000e+02,C,4.663009186827e-01,1.321035e-10
1.0000000000e-02,1.000000e+02,A,3.107268872469e-01,4.932424e-12
1.0000000000e-02,1.000000e+02,B,4.663008705647e-01,4.932424e-12
1.0000000000e-02,1.000000e+02,C,4.663008705624e-01,4.932424e-12
1.2115276586e-02,1.000000e+02,A,3.107268867345e-01,2.144539e-10
1.2115276586e-02,1.000000e+02,B,4.663008175498e-01,2.144539e-10
1.2115276586e-02,1.000000e+02,C,4.663008176498e-01,2.144539e-10
1.4677992676e-02,1.000000e+02,A,3.107268861706e-01,1.393943e-11
1.4677992676e-02,1.000000e+02,B,4.663007593924e-01,1.393943e-11
1.4677992676e-02,1.000000e+02,C,4.663007593989e-01,1.393943e-11
1.7782794100e-02,1.000000e+02,A,3.107268855498e-01,3.860168e-11
1.7782794100e-02,1.000000e+02,B,4.663006952643e-01,3.860168e-11
1.7782794100e-02,1.000000e+02,C,4.663006952823e-01,3.860168e-11
2.1544346900e-02,1.000000e+02,A,3.107268848666e-01,2.680674e-11
2.1544346900e-02,1.000000e+02,B,4.663006246790e-01,2.680674e-11
2.1544346900e-02,1.000000e+02,C,4.663006246915e-01,2.680674e-11
2.6101572157e-02,1.000000e+02,A,3.107268841145e-01,8.492375e-11
2.6101572157e-02,1.000000e+02,B,4.663005469786e-01,8.492375e-11
2.6101572157e-02,1.000000e+02,C,4.663005470182e-01,8.492375e-11
3.1622776602e-02,1.000000e+02,A,3.107268832868e-01,1.250266e-10
3.1622776602e-02,1.000000e+02,B,4.663004614713e-01,1.250266e-10
3.1622776602e-02,1.000000e+02,C,4.663004615296e-01,1.250266e-10
3.8311868496e-02,1.000000e+02,A,3.107268823758e-01,1.835727e-10
3.8311868496e-02,1.000000e+02,B,4.663003673477e-01,1.835727e-10
3.8311868496e-02,1.000000e+02,C,4.663003674333e-01,1.835727e-10
4.6415888336e-02,1.000000e+02,A,3.107268813731e-01,2.691399e-10
4.6415888336e-02,1.000000e+02,B,4.663002637514e-01,2.691399e-10
4.6415888336e-02,1.000000e+02,C,4.663002638769e-01,2.691399e-10
5.6234132519e-02,1.000000e+02,A,3.107268802695e-01,3.875187e-10
5.6234132519e-02,1.000000e+02,B,4.663001497255e-01,3.875187e-10
5.6234132519e-02,1.000000e+02,C,4.663001499062e-01,3.875187e-10
6.8129206906e-02,1.000000e+02,A,3.107268790549e-01,5.710915e-10
6.8129206906e-02,1.000000e+02,B,4.663000242007e-01,5.710915e-10
6.8129206906e-02,1.000000e+02,C,4.663000244670e-01,5.710915e-10
8.2540418527e-02,1.000000e+02,A,3.107268777181e-01,8.280079e-10
8.2540418527e-02,1.000000e+02,B,4.662998860684e-01,8.280079e-10
8.2540418527e-02,1.000000e+02,C,4.662998864545e-01,8.280079e-10
1.0000000000e-01,1.000000e+02,A,3.107268762035e-01,1.249411e-09
1.0000000000e-01,1.000000e+02,B,4.662997340085e-01,1.249411e-09
1.0000000000e-01,1.000000e+02,C,4.662997345911e-01,1.249411e-09
1.2115276586e-01,1.000000e+02,A,3.107268745853e-01,1.834229e-09
1.2115276586e-01,1.000000e+02,B,4.662995666321e-01,1.834229e-09
1.2115276586e-01,1.000000e+02,C,4.662995674874e-01,1.834229e-09
1.4677992676e-01,1.000000e+02,A,3.107268728725e-01,2.692262e-09
1.4677992676e-01,1.000000e+02,B,4.662993823911e-01,2.692262e-09
1.4677992676e-01,1.000000e+02,C,4.662993836465e-01,2.692262e-09
1.7782794100e-01,1.000000e+02,A,3.107268709065e-01,3.951755e-09
1.7782794100e-01,1.000000e+02,B,4.662991795739e-01,3.951755e-09
1.7782794100e-01,1.000000e+02,C,4.662991814166e-01,3.951755e-09
2.1544346900e-01,1.000000e+02,A,3.107268687441e-01,5.800356e-09
2.1544346900e-01,1.000000e+02,B,4.662989563062e-01,5.800356e-09
2.1544346900e-01,1.000000e+02,C,4.662989590109e-01,5.800356e-09
2.6101572157e-01,1.000000e+02,A,3.107268663658e-01,8.506779e-09
2.6101572157e-01,1.000000e+02,B,4.662987104913e-01,8.506779e-09
2.6101572157e-01,1.000000e+02,C,4.662987144580e-01,8.506779e-09
3.1622776602e-01,1.000000e+02,A,3.107268637498e-01,1.249629e-08
3.1622776602e-01,1.000000e+02,B,4.662984398174e-01,1.249629e-08
3.1622776602e-01,1.000000e+02,C,4.662984456444e-01,1.249629e-08
3.8311868496e-01,1.000000e+02,A,3.107268608727e-01,1.834170e-08
3.8311868496e-01,1.000000e+02,B,4.662981417372e-01,1.834170e-08
3.8311868496e-01,1.000000e+02,C,4.662981502899e-01,1.834170e-08
4.6415888336e-01,1.000000e+02,A,3.107268577142e-01,2.692206e-08
4.6415888336e-01,1.000000e+02,B,4.662978133765e-01,2.692206e-08
4.6415888336e-01,1.000000e+02,C,4.662978259302e-01,2.692206e-08
5.6234132519e-01,1.000000e+02,A,3.107268542590e-01,3.951619e-08
5.6234132519e-01,1.000000e+02,B,4.662974515446e-01,3.951619e-08
5.6234132519e-01,1.000000e+02,C,4.662974699709e-01,3.951619e-08
6.8129206906e-01,1.000000e+02,A,3.107268504251e-01,5.800980e-08
6.8129206906e-01,1.000000e+02,B,4.662970526414e-01,5.800980e-08
6.8129206906e-01,1.000000e+02,C,4.662970796912e-01,5.800980e-08
8.2540418527e-01,1.000000e+02,A,3.107268462105e-01,8.513422e-08
8.2540418527e-01,1.000000e+02,B,4.662966125985e-01,8.513422e-08
8.2540418527e-01,1.000000e+02,C,4.662966522963e-01,8.513422e-08
1.0000000000e+00,1.000000e+02,A,3.107268415809e-01,1.249553e-07
1.0000000000e+00,1.000000e+02,B,4.662961267505e-01,1.249553e-07
1.0000000000e+00,1.000000e+02,C,4.662961850167e-01,1.249553e-07
1.2115276586e+00,1.000000e+02,A,3.107268364974e-01,1.834192e-07
1.2115276586e+00,1.000000e+02,B,4.662955896953e-01,1.834192e-07
1.2115276586e+00,1.000000e+02,C,4.662956752229e-01,1.834192e-07
1.4677992676e+00,1.000000e+02,A,3.107268309186e-01,2.692035e-07
1.4677992676e+00,1.000000e+02,B,4.662949951046e-01,2.692035e-07
1.4677992676e+00,1.000000e+02,C,4.662951206329e-01,2.692035e-07
1.7782794100e+00,1.000000e+02,A,3.107268248008e-01,3.951226e-07
1.7782794100e+00,1.000000e+02,B,4.662943354043e-01,3.951226e-07
1.7782794100e+00,1.000000e+02,C,4.662945196478e-01,3.951226e-07
2.1544346900e+00,1.000000e+02,A,3.107268180991e-01,5.799306e-07
2.1544346900e+00,1.000000e+02,B,4.662936013930e-01,5.799306e-07
2.1544346900e+00,1.000000e+02,C,4.662938718111e-01,5.799306e-07
2.6101572157e+00,1.000000e+02,A,3.107268107685e-01,8.511589e-07
2.6101572157e+00,1.000000e+02,B,4.662927816281e-01,8.511589e-07
2.6101572157e+00,1.000000e+02,C,4.662931785177e-01,8.511589e-07
3.1622776602e+00,1.000000e+02,A,3.107268027651e-01,1.249198e-06
3.1622776602e+00,1.000000e+02,B,4.662918615923e-01,1.249198e-06
3.1622776602e+00,1.000000e+02,C,4.662924440840e-01,1.249198e-06
3.8311868496e+00,1.000000e+02,A,3.107267940494e-01,1.833303e-06
3.8311868496e+00,1.000000e+02,B,4.662908224043e-01,1.833303e-06
3.8311868496e+00,1.000000e+02,C,4.662916772583e-01,1.833303e-06
4.6415888336e+00,1.000000e+02,A,3.107267845957e-01,2.690318e-06
4.6415888336e+00,1.000000e+02,B,4.662896390619e-01,2.690318e-06
4.6415888336e+00,1.000000e+02,C,4.662908935325e-01,2.690318e-06
5.6234132519e+00,1.000000e+02,A,3.107267743725e-01,3.947636e-06
5.6234132519e+00,1.000000e+02,B,4.662882777329e-01,3.947636e-06
