# V3 model-limit raw data: V*(Omega) per configuration (production route, continuation, bc free/isothermal)
Omega,V_A,r_A,status_A,V_B,r_B,status_B,V_C,r_C,status_C,V_C_Dw0,r_C_Dw0,status_C_Dw0,V_C_Dw14,r_C_Dw14,status_C_Dw14,V_C_rhow0,r_C_rhow0,status_C_rhow0
5.0118723363e-01,3.107268562865e-01,9.672391e-08,resolved_min,4.662976800552e-01,9.109246e-08,resolved_min,4.662976800601e-01,9.109246e-08,resolved_min,3.107267374370e-01,1.063915e-04,resolved_min,3.107268563681e-01,9.683005e-08,resolved_min,4.662976799163e-01,9.109246e-08,resolved_min
5.6234132519e-01,3.107268542448e-01,1.026960e-07,resolved_min,4.662974605826e-01,1.017236e-07,resolved_min,4.662974605834e-01,1.017236e-07,resolved_min,3.107267588206e-01,9.574832e-05,resolved_min,3.107268542182e-01,1.027916e-07,resolved_min,4.662974605856e-01,1.017236e-07,resolved_min
6.3095734448e-01,3.107268519892e-01,1.081157e-07,resolved_min,4.662972282549e-01,1.135620e-07,resolved_min,4.662972281399e-01,1.135620e-07,resolved_min,3.107267761172e-01,8.548549e-05,resolved_min,3.107268519682e-01,1.082011e-07,resolved_min,4.662972282620e-01,1.135620e-07,resolved_min
7.0794578438e-01,3.107268496040e-01,1.136549e-07,resolved_min,4.662969823251e-01,1.267385e-07,resolved_min,4.662969823286e-01,1.267385e-07,resolved_min,3.107267892876e-01,7.625318e-05,resolved_min,3.107268495872e-01,1.137311e-07,resolved_min,4.662969824222e-01,1.267385e-07,resolved_min
7.9432823472e-01,3.107268470799e-01,1.193773e-07,resolved_min,4.662967220269e-01,1.413966e-07,resolved_min,4.662967217293e-01,1.413966e-07,resolved_min,3.107267991352e-01,6.800123e-05,resolved_min,3.107268470667e-01,1.194451e-07,resolved_min,4.662967220280e-01,1.413966e-07,resolved_min
8.9125093813e-01,3.107268444086e-01,1.252969e-07,resolved_min,4.662964464846e-01,1.576940e-07,resolved_min,4.662964465478e-01,1.576940e-07,resolved_min,3.107268063039e-01,6.063760e-05,resolved_min,3.107268443986e-01,1.253574e-07,resolved_min,4.662964465491e-01,1.576940e-07,resolved_min
1.0000000000e+00,3.107268415820e-01,1.314163e-07,resolved_min,4.662961550245e-01,1.758032e-07,resolved_min,4.662961550326e-01,1.758032e-07,resolved_min,3.107268112887e-01,5.407076e-05,resolved_min,3.107268415749e-01,1.314703e-07,resolved_min,4.662961550233e-01,1.758032e-07,resolved_min
1.1220184543e+00,3.107268385915e-01,1.377331e-07,resolved_min,4.662958465710e-01,1.959129e-07,resolved_min,4.662958465795e-01,1.959129e-07,resolved_min,3.107268144958e-01,4.821626e-05,resolved_min,3.107268385870e-01,1.377812e-07,resolved_min,4.662958465723e-01,1.959129e-07,resolved_min
1.2589254118e+00,3.107268354284e-01,1.442409e-07,resolved_min,4.662955202489e-01,2.182290e-07,resolved_min,4.662955202558e-01,2.182290e-07,resolved_min,3.107268162737e-01,4.299771e-05,resolved_min,3.107268354270e-01,1.442838e-07,resolved_min,4.662955201246e-01,2.182290e-07,resolved_min
1.4125375446e+00,3.107268320835e-01,1.509304e-07,resolved_min,4.662951750827e-01,2.429755e-07,resolved_min,4.662951749751e-01,2.429755e-07,resolved_min,3.107268168390e-01,3.834655e-05,resolved_min,3.107268320811e-01,1.509686e-07,resolved_min,4.662951750783e-01,2.429755e-07,resolved_min
1.5848931925e+00,3.107268285475e-01,1.577886e-07,resolved_min,4.662948100386e-01,2.703956e-07,resolved_min,4.662948098010e-01,2.703956e-07,resolved_min,3.107268164265e-01,3.420142e-05,resolved_min,3.107268285303e-01,1.578226e-07,resolved_min,4.662948097898e-01,2.703956e-07,resolved_min
1.7782794100e+00,3.107268248107e-01,1.647989e-07,resolved_min,4.662944237884e-01,3.007528e-07,resolved_min,4.662944240714e-01,3.007528e-07,resolved_min,3.107268151650e-01,3.050750e-05,resolved_min,3.107268248152e-01,1.648293e-07,resolved_min,4.662944240584e-01,3.007528e-07,resolved_min
1.9952623150e+00,3.107268208617e-01,1.719407e-07,resolved_min,4.662940160284e-01,3.343315e-07,resolved_min,4.662940160457e-01,3.343315e-07,resolved_min,3.107268131853e-01,2.721586e-05,resolved_min,3.107268208225e-01,1.719677e-07,resolved_min,4.662940160307e-01,3.343315e-07,resolved_min
2.2387211386e+00,3.107268166923e-01,1.791884e-07,resolved_min,4.662935848151e-01,3.714376e-07,resolved_min,4.662935848386e-01,3.714376e-07,resolved_min,3.107268105819e-01,2.428282e-05,resolved_min,3.107268166534e-01,1.792125e-07,resolved_min,4.662935849037e-01,3.714376e-07,resolved_min
2.5118864315e+00,3.107268122934e-01,1.865113e-07,resolved_min,4.662931292250e-01,4.123991e-07,resolved_min,4.662931292537e-01,4.123991e-07,resolved_min,3.107268074280e-01,2.166944e-05,resolved_min,3.107268122963e-01,1.865328e-07,resolved_min,4.662931292263e-01,4.123991e-07,resolved_min
2.8183829313e+00,3.107268076556e-01,1.938732e-07,resolved_min,4.662926480394e-01,4.575659e-07,resolved_min,4.662926480796e-01,4.575659e-07,resolved_min,3.107268037802e-01,1.934096e-05,resolved_min,3.107268076312e-01,1.938924e-07,resolved_min,4.662926480395e-01,4.575659e-07,resolved_min
3.1622776602e+00,3.107268027696e-01,2.012310e-07,resolved_min,4.662921400208e-01,5.073098e-07,resolved_min,4.662921400701e-01,5.073099e-07,resolved_min,3.107267996816e-01,1.726640e-05,resolved_min,3.107268027547e-01,2.012481e-07,resolved_min,4.662921400212e-01,5.073098e-07,resolved_min
3.5481338923e+00,3.107267976273e-01,2.085349e-07,resolved_min,4.662916038983e-01,5.620236e-07,resolved_min,4.662916039540e-01,5.620236e-07,resolved_min,3.107267951655e-01,1.541812e-05,resolved_min,3.107267976258e-01,2.085501e-07,resolved_min,4.662916038986e-01,5.620236e-07,resolved_min
3.9810717055e+00,3.107267922211e-01,2.157270e-07,resolved_min,4.662910383949e-01,6.221193e-07,resolved_min,4.662910384612e-01,6.221194e-07,resolved_min,3.107267902577e-01,1.377146e-05,resolved_min,3.107267922168e-01,2.157406e-07,resolved_min,4.662910384437e-01,6.221193e-07,resolved_min
4.4668359215e+00,3.107267865448e-01,2.227415e-07,resolved_min,4.662904422162e-01,6.880267e-07,resolved_min,4.662904423048e-01,6.880268e-07,resolved_min,3.107267849783e-01,1.230443e-05,resolved_min,3.107267865535e-01,2.227536e-07,resolved_min,4.662904422199e-01,6.880267e-07,resolved_min
