solver,t_hat,abs_error
41,0.507563025210084,3.7876308424001605e-08
41,0.5121848739495798,3.71255136643053e-08
41,0.5168067226890756,3.633669709668466e-08
41,0.5214285714285714,3.5529420073677455e-08
41,0.5260504201680671,3.4778520953016835e-08
41,0.5306722689075629,3.396271775024742e-08
41,0.5352941176470588,3.31544164354777e-08
41,0.5399159663865546,3.239720769532353e-08
41,0.5445378151260504,3.162093986752792e-08
41,0.5491596638655462,3.08609243725452e-08
41,0.5537815126050419,3.009760818451026e-08
41,0.5584033613445377,2.9305612937347812e-08
41,0.5630252100840336,2.8547975873150742e-08
41,0.5676470588235294,2.7796769775823814e-08
41,0.5722689075630252,2.7063468578281922e-08
41,0.576890756302521,2.6363734973889573e-08
41,0.5815126050420167,2.560022682829368e-08
41,0.5861344537815125,2.4940243316008102e-08
41,0.5907563025210083,2.4250994213771103e-08
41,0.5953781512605042,2.357979511746846e-08
41,0.6,2.290623779643921e-08
conv41,0.05,5.820480232086458e-07
conv41,0.0546218487394958,9.081887012604645e-07
conv41,0.059243697478991594,1.2727506864168854e-06
conv41,0.06386554621848739,1.6353228016959272e-06
conv41,0.0684873949579832,1.9604120508133767e-06
conv41,0.07310924369747898,2.2251558897203323e-06
conv41,0.07773109243697479,2.420116545083118e-06
conv41,0.08235294117647059,2.546092988609972e-06
conv41,0.08697478991596638,2.610064042147698e-06
conv41,0.09159663865546218,2.621852941421144e-06
conv41,0.09621848739495797,2.591903854960332e-06
conv41,0.10084033613445378,2.5300172351593327e-06
conv41,0.10546218487394957,2.444753929743305e-06
conv41,0.11008403361344538,2.3432499176588857e-06
conv41,0.11470588235294117,2.231256221841727e-06
conv41,0.11932773109243697,2.11328614768791e-06
conv41,0.12394957983193276,1.9928011031910005e-06
conv41,0.12857142857142856,1.872397526582082e-06
conv41,0.13319327731092434,1.753977249830841e-06
conv41,0.13781512605042015,1.6388939597110637e-06
conv41,0.14243697478991596,1.5280755736323267e-06
conv41,0.14705882352941174,1.4221229726617553e-06
conv41,0.15168067226890755,1.3213896565288382e-06
conv41,0.15630252100840336,1.2260436393362058e-06
conv41,0.1584,1.184563628132574e-06
conv41,0.16,1.1536704994662424e-06
conv41,0.16092436974789914,1.1361166872846392e-06
conv41,0.1616,1.1234220078658604e-06
conv41,0.16236,1.1092783392961943e-06
conv41,0.164,1.079247617720048e-06
conv41,0.16554621848739492,1.0515421017275324e-06
conv41,0.16564,1.0498805702595655e-06
conv41,0.17016806722689073,9.721833409425125e-07
conv41,0.17478991596638654,8.978562061622294e-07
conv41,0.17941176470588233,8.283460463119904e-07
conv41,0.1840336134453781,7.634198945237766e-07
conv41,0.18865546218487395,7.028356111559172e-07
conv41,0.19327731092436973,6.463491195606305e-07
conv41,0.1978991596638655,5.937183102943119e-07
conv41,0.20252100840336135,5.447087273467996e-07
conv41,0.20714285714285713,4.990930151392856e-07
conv41,0.2117647058823529,4.566537259452782e-07
conv41,0.2163865546218487,4.1718565579984623e-07
conv41,0.22100840336134453,3.8049138106999247e-07
conv41,0.2256302521008403,3.463905478017234e-07
conv41,0.2302521008403361,3.1470931394317414e-07
conv41,0.23487394957983188,2.8528583218101555e-07
conv41,0.2394957983193277,2.5796777558639927e-07
conv41,0.2441176470588235,2.3261607151703414e-07
conv41,0.24873949579831928,2.0909636733279582e-07
conv41,0.2533613445378151,1.8728783701782517e-07
conv41,0.2579831932773109,1.6707284422701276e-07
conv41,0.2626050420168067,1.483485719832042e-07
conv41,0.26722689075630246,1.3101312967933678e-07
conv41,0.2718487394957983,1.1497064544940896e-07
conv41,0.2764705882352941,1.0013798346186844e-07
conv41,0.28109243697478986,8.643482019110662e-08
conv41,0.2857142857142857,7.378171829153315e-08
conv41,0.2903361344537815,6.210982683818669e-08
conv41,0.29495798319327726,5.135496494823668e-08
conv41,0.29957983193277304,4.145502152763738e-08
conv41,0.3042016806722688,3.235132584145175e-08
conv41,0.30882352941176466,2.399156329258103e-08
conv41,0.31344537815126045,1.6324998687201296e-08
conv41,0.3180672268907562,9.30383659103553e-09
conv41,0.32268907563025206,2.885530815289439e-09
conv41,0.32731092436974785,2.9696662916530948e-09
conv41,0.33193277310924363,8.302541544159237e-09
conv41,0.3365546218487394,1.3146775447060133e-08
conv41,0.34117647058823525,1.754210077298337e-08
conv41,0.34579831932773103,2.1512950200031876e-08
conv41,0.3504201680672268,2.5090809875228624e-08
conv41,0.35504201680672265,2.8303747346859163e-08
conv41,0.35966386554621843,3.118056446471753e-08
conv41,0.3642857142857142,3.373874046908112e-08
conv41,0.36890756302521,3.6003547033592566e-08
conv41,0.37352941176470583,3.800276049503806e-08
conv41,0.3781512605042016,3.97489732250075e-08
conv41,0.3827731092436974,4.1263064965880416e-08
conv41,0.38739495798319323,4.2560483804910644e-08
conv41,0.392016806722689,4.366101080777254e-08
conv41,0.3966386554621848,4.45765753208657e-08
conv41,0.4012605042016806,4.5324694887161867e-08
conv41,0.4058823529411764,4.591537228304601e-08
conv41,0.4105042016806722,4.636099915178518e-08
conv41,0.415126050420168,4.66834338973551e-08
conv41,0.41974789915966376,4.6878081528701456e-08
conv41,0.4243697478991596,4.6964743650624554e-08
conv41,0.4289915966386554,4.694017352691118e-08
conv41,0.43361344537815116,4.68376694106051e-08
conv41,0.438235294117647,4.664898101236572e-08
conv41,0.4428571428571428,4.6376775087898194e-08
conv41,0.44747899159663856,4.6042873625863036e-08
conv41,0.45210084033613435,4.565347489038443e-08
conv41,0.4567226890756302,4.5195733490045155e-08
conv41,0.46134453781512597,4.469080161595498e-08
conv41,0.46596638655462175,4.414159349253124e-08
conv41,0.4705882352941176,4.354770644188291e-08
conv41,0.47521008403361337,4.292504818359602e-08
conv41,0.47983193277310915,4.226289296405197e-08
conv41,0.48445378151260493,4.1574988119853186e-08
conv41,0.48907563025210077,4.088248706335476e-08
conv41,0.49369747899159655,4.0162761783980285e-08
conv41,0.49831932773109233,3.9408102115890655e-08
conv41,0.5029411764705882,3.865415421178211e-08
conv41,0.507563025210084,3.78941843469657e-08
conv41,0.5121848739495798,3.7121115848860155e-08
conv41,0.5168067226890756,3.633266521074843e-08
conv41,0.5214285714285714,3.554992589294228e-08
conv41,0.5260504201680671,3.4769047308925407e-08
conv41,0.5306722689075629,3.397904901991735e-08
conv41,0.5352941176470588,3.3180728277072104e-08
conv41,0.5399159663865546,3.240348456323785e-08
conv41,0.5445378151260504,3.162509210164002e-08
conv41,0.5491596638655462,3.083585065166785e-08
conv41,0.5537815126050419,3.0079381431070386e-08
conv41,0.5584033613445377,2.931327725097601e-08
conv41,0.5630252100840336,2.8557106236282957e-08
conv41,0.5676470588235294,2.7821939864059696e-08
conv41,0.5722689075630252,2.7087311505914167e-08
conv41,0.576890756302521,2.6373313312012224e-08
conv41,0.5815126050420167,2.5635909396305133e-08
conv41,0.5861344537815125,2.4945123745402052e-08
conv41,0.5907563025210083,2.4260177090452382e-08
conv41,0.5953781512605042,2.3590428167464504e-08
conv41,0.6,2.2911579745544495e-08
