figure,t_hat,T_published,T_phase5
fig5,0.28654404646660214,0.7809983931339111,0.7795711868124489
fig5,0.2891255243626976,0.7826616460462614,0.7813801563187404
fig5,0.29170700225879315,0.7846117368726858,0.7831746251014624
fig5,0.2942884801548887,0.7861833857145311,0.7849547054634027
fig5,0.2968699580509842,0.7920159389966457,0.7867205085787201
fig5,0.2994514359470797,0.7929619164671051,0.7884721451662962
fig5,0.3020329138431752,0.7947541523993094,0.7902097247129904
fig5,0.30461439173927074,0.7965223970077404,0.7919333563485573
fig5,0.30719586963536627,0.7982756544848547,0.7936431481845367
fig5,0.30977734753146174,0.800009196889078,0.7953392074184564
fig5,0.3123588254275573,0.8017740112491765,0.7970216405997395
fig5,0.3149403033236528,0.8035356338691941,0.7986905536539787
fig5,0.31752178121974833,0.8052847183958987,0.800346051403231
fig5,0.3201032591158438,0.8074814982355532,0.8019882381310532
fig5,0.32268473701193934,0.808277121178393,0.8036172172079042
fig5,0.32526621490803487,0.8098566208400977,0.8052330913728718
fig5,0.32784769280413034,0.8114393236148781,0.8068359625564485
fig5,0.33042917070022587,0.8130052263260519,0.8084259320909061
fig5,0.3330106485963214,0.8145920416915478,0.8100031000844854
fig5,0.33559212649241693,0.8133925049309665,0.8115675665803133
fig5,0.3381736043885124,0.813486445388286,0.8131194302078876
fig5,0.34075508228460794,0.8157483284333793,0.8146587893990055
fig5,0.34333656018070347,0.8169867281783839,0.8161857416913708
fig5,0.345918038076799,0.8185413611719341,0.8177003837147518
fig5,0.34849951597289447,0.8201264203398133,0.8192028116416933
fig5,0.35108099386899,0.8216894968096085,0.8206931207396295
fig5,0.35366247176508553,0.8232663036218046,0.8221714057897279
fig5,0.356243949661181,0.8248094869226308,0.8236377605195448
fig5,0.35882542755727653,0.8260335081301724,0.8250922783580616
fig5,0.36140690545337206,0.8272427418700565,0.8265350518105392
fig5,0.3639883833494676,0.828801584229334,0.8279661728062516
fig5,0.36656986124556307,0.8303641634565744,0.8293857323819426
fig5,0.3691513391416586,0.8319194722165544,0.830793821160195
fig5,0.3717328170377541,0.8327988713565637,0.8321905288840913
fig5,0.37431429493384966,0.8385271911587701,0.8335759449210791
fig5,0.37689577282994513,0.839834918338918,0.8349501574348142
fig5,0.37947725072604066,0.8406175520731733,0.8363132544778142
fig5,0.3820587286221362,0.8421382219652223,0.837665323244394
fig5,0.38464020651823166,0.8430114431418212,0.8390064501635577
fig5,0.3872216844143272,0.8445484809838524,0.8403367211800501
fig5,0.3898031623104227,0.8460817350314425,0.8416562215948754
fig5,0.39238464020651825,0.8469743919995585,0.8429650359003632
fig5,0.39496611810261373,0.8484933013449352,0.8442632483033128
fig5,0.39754759599870926,0.8493854646617376,0.8455509416637044
fig5,0.4027105517909003,0.8523936122280056,0.8480951026284673
fig5,0.4052920296869958,0.8532802626151281,0.849351733642336
fig5,0.4078735075830913,0.8547753417473293,0.8505981731309807
fig5,0.41045498547918685,0.8556706442182587,0.8518345014167615
fig5,0.4130364633752823,0.8571418711391794,0.8530607977969349
fig5,0.41561794127137786,0.8540904318332787,0.8542771416892906
fig5,0.4181994191674734,0.8563674964807899,0.8554836114421345
fig5,0.4207808970635689,0.8572243335845587,0.8566802848492354
fig5,0.4233623749596644,0.8587201402586018,0.8578672393722302
fig5,0.4259438528557599,0.859584419618886,0.859044551511116
fig5,0.42852533075185545,0.8610863593247622,0.8602122976555899
fig5,0.431106808647951,0.8619435860170833,0.8613705531094576
fig5,0.43368828654404645,0.8631163708086784,0.8625193928086254
fig5,0.436269764440142,0.8642994053698192,0.8636588914953263
fig5,0.4388512423362375,0.8651625826006529,0.8647891226845079
fig5,0.441432720232333,0.8666432112585958,0.8659101597333496
fig5,0.4440141981284285,0.8674840301620927,0.8670220754758772
fig5,0.44659567602452405,0.8689696363585855,0.8681249421470558
fig5,0.4491771539206196,0.8698123567354337,0.8692188312953535
fig5,0.45175863181671505,0.8706603071151566,0.8703038139871904
fig5,0.4543401097128106,0.8748384210820608,0.8713799607598545
fig5,0.4569215876089061,0.8768891280257756,0.8724473416981622
fig5,0.45950306550500164,0.8773085036602284,0.8735060262252446
fig5,0.4620845434010971,0.8781021237642892,0.8745560834632669
fig5,0.46466602129719264,0.8792778920134894,0.8755975817315154
fig5,0.4672474991932882,0.8801498414511406,0.8766305889526902
fig5,0.46982897708938365,0.8812640623858572,0.8776551724352883
fig5,0.4724104549854792,0.8823784299626851,0.8786713991646156
fig5,0.4749919328815747,0.8832393419501283,0.8796793355731347
fig5,0.47757341077767024,0.8844148578845,0.8806790474229351
fig5,0.4801548886737657,0.8852134955459143,0.88167059998072
fig5,0.48273636656986124,0.8863157820154124,0.8826540583778842
fig5,0.48531784446595677,0.8871776719639968,0.8836294869020489
fig5,0.4878993223620523,0.8883420992411746,0.8845969493086001
fig5,0.4904808002581478,0.8891396951499799,0.8855565091509134
fig5,0.4930622781542433,0.88993187339261,0.8865082292305149
fig5,0.49564375605033884,0.8898939129330669,0.8874521719643061
fig5,0.4982252339464343,0.888774730339823,0.888388399323359
fig5,0.5008067118425299,0.8895967244931433,0.8893169729115445
fig5,0.5033881897386253,0.8907288504669846,0.8902379535637697
fig5,0.5059696676347208,0.8915184255860985,0.8911514018632734
fig5,0.5085511455308164,0.8926460892853724,0.8920573778801433
fig5,0.5111326234269119,0.893460759180734,0.8929559413885705
fig5,0.5137141013230074,0.8942780946031217,0.8938471510860609
fig5,0.516295579219103,0.8950822898966404,0.8947310662330265
fig5,0.5188770571151985,0.895885482039328,0.8956077447477756
fig5,0.5214585350112939,0.8966897616688212,0.8964772444429989
fig5,0.5240400129073894,0.8975028423944165,0.8973396228855186
fig5,0.526621490803485,0.8986218221362225,0.8981949367631403
fig5,0.5292029686995805,0.8994079714425929,0.8990432425959933
fig5,0.531784446595676,0.900198482086098,0.8998845964872295
fig5,0.5343659244917716,0.9009865048873433,0.900719054069294
fig5,0.5369474023878671,0.9020983963033432,0.901546670400134
fig5,0.5395288802839626,0.9057495606659645,0.9023675004383458
fig5,0.542110358180058,0.9064981572430928,0.9031815982611751
fig5,0.5446918360761536,0.9072953654621003,0.9039890179486789
fig5,0.5472733139722491,0.90807545418119,0.9047898129278635
fig5,0.5498547918683446,0.9088638550444414,0.9055840364105331
fig5,0.5524362697644402,0.9096611214478947,0.9063717408588262
fig5,0.5550177476605357,0.9104583102551306,0.907152978832426
fig5,0.5575992255566312,0.9112413233735583,0.9079278017485108
fig5,0.5601807034527266,0.912026066621819,0.908696261579298
fig5,0.5627621813488222,0.9128033016076377,0.9094584090633197
fig5,0.5653436592449177,0.9135756023853189,0.9102142947991885
fig5,0.5679251371410132,0.9143461151945977,0.9109639693820397
