tau_q_or_tag,t_hat,T_or_spread_B1,T_or_spread_B105
0.03,0.6932706766917293,0.9973921329105451,0.9970985431259685
0.03,0.6957644110275689,0.9974555347676242,0.9971676589677492
0.03,0.6982581453634085,0.9975173952048353,0.9972351283925502
0.03,0.7007518796992481,0.9975777517035063,0.9973009906169795
0.03,0.7032456140350877,0.997636640827262,0.9973652839382139
0.03,0.7057393483709272,0.9976940982231134,0.9974280457129993
0.03,0.7082330827067669,0.9977501587589881,0.9974893124454022
0.03,0.7107268170426064,0.9978048563885505,0.9975491197828232
0.03,0.7132205513784461,0.997858224172636,0.9976075023920079
0.03,0.7157142857142856,0.9979102945366021,0.9976644943169777
0.03,0.7182080200501253,0.9979610989458656,0.9977201285912274
0.03,0.7207017543859648,0.9980106682306418,0.9977744376320433
0.03,0.7231954887218045,0.9980590323672367,0.9978274529320963
0.03,0.725689223057644,0.9981062207455076,0.9978792054164605
0.03,0.7281829573934837,0.9981522618419139,0.9979297250603552
0.03,0.7306766917293233,0.9981971836084604,0.9979790412709297
0.03,0.7331704260651628,0.9982410132598118,0.9980271827323743
0.03,0.7356641604010025,0.9982837773067946,0.9980741773979316
0.03,0.738157894736842,0.9983255016865686,0.9981200525937746
0.03,0.7406516290726817,0.9983662116979221,0.9981648350245852
0.03,0.7431453634085212,0.998405931997577,0.9982085507034664
0.03,0.7456390977443609,0.9984446865813459,0.9982512249782908
0.03,0.7481328320802004,0.9984824990089785,0.9982928827472417
0.03,0.7506265664160401,0.9985193921326676,0.9983335481728337
0.03,0.7531203007518796,0.9985553882878482,0.9983732448628507
0.03,0.7556140350877193,0.9985905093582967,0.9984119959812254
0.03,0.7581077694235588,0.9986247765496667,0.9984498239920137
0.03,0.7606015037593984,0.9986582106599092,0.9984867508987683
0.03,0.763095238095238,0.9986908319391388,0.9985227981872942
0.03,0.7655889724310776,0.9987226601115082,0.9985579867567922
0.03,0.7680827067669173,0.9987537145020062,0.9985923371235788
0.03,0.7705764411027568,0.9987840138898003,0.9986258691976504
0.03,0.7730701754385965,0.9988135766530097,0.9986586025324975
0.03,0.775563909774436,0.9988424206863642,0.998690556093037
0.03,0.7780576441102757,0.998870563479634,0.9987217484991093
0.03,0.7805513784461152,0.9988980220665576,0.9987521978668499
0.03,0.7830451127819549,0.9989248131209941,0.9987819219362251
0.03,0.7855388471177944,0.9989509527948242,0.9988109378797307
0.03,0.7880325814536341,0.9989764569967449,0.998839262687636
0.03,0.7905263157894736,0.9990013411349354,0.9988669127459626
0.03,0.7930200501253132,0.9990256202726164,0.9988939041208172
0.03,0.7955137844611528,0.9990493091745882,0.9989202525885335
0.03,0.7980075187969924,0.9990724221160161,0.9989459733371571
0.03,0.800501253132832,0.9990949731715649,0.9989710814261901
0.03,0.8029949874686716,0.999116975946699,0.9989955913915102
0.03,0.8054887218045113,0.9991384438130282,0.9990195175131464
0.03,0.8079824561403508,0.9991593897757324,0.9990428737239623
0.03,0.8104761904761905,0.9991798264910141,0.9990656735372097
0.03,0.81296992481203,0.9991997664095639,0.9990879302916578
0.03,0.8154636591478697,0.9992192214664222,0.9991096567644208
0.03,0.8179573934837092,0.9992382035637981,0.999130865729539
0.03,0.8204511278195488,0.9992567241738839,0.9991515694905531
0.03,0.8229448621553884,0.9992747945145664,0.999171780034987
0.03,0.825438596491228,0.9992924255618932,0.9991915091877458
0.03,0.8279323308270676,0.9993096279311457,0.9992107683276039
0.03,0.8304260651629072,0.9993264120896456,0.9992295687148217
0.03,0.8329197994987468,0.9993427881959172,0.9992479212326905
0.03,0.8354135338345864,0.9993587661595194,0.9992658365812258
0.03,0.837907268170426,0.9993743556955552,0.9992833251791384
0.03,0.8404010025062656,0.9993895662093756,0.9993003971776799
0.03,0.8428947368421053,0.9994044069405943,0.9993170625141308
0.03,0.8453884711779448,0.9994188868490346,0.9993333308452135
0.03,0.8478822055137843,0.9994330147226066,0.9993492116287612
0.03,0.850375939849624,0.9994467991357976,0.9993647141317918
0.03,0.8528696741854636,0.9994602484285746,0.9993798473614522
0.03,0.8553634085213032,0.9994733707710792,0.9993946201198067
0.03,0.8578571428571428,0.9994861740204268,0.999409040912684
0.03,0.8603508771929824,0.9994986660401379,0.9994231182194525
0.03,0.862844611528822,0.9995108543577762,0.9994368601929307
0.03,0.8653383458646616,0.999522746380499,0.9994502748621299
0.03,0.8678320802005012,0.9995343492276152,0.9994633698969038
0.03,0.8703258145363408,0.9995456700206213,0.9994761530258873
0.03,0.8728195488721804,0.9995567156117325,0.9994886316647349
0.03,0.87531328320802,0.9995674925971472,0.9995008130003025
0.03,0.8778070175438596,0.9995780076486933,0.9995127042191381
0.03,0.8803007518796991,0.9995882670079568,0.9995243121371795
0.03,0.8827944862155388,0.9995982769481049,0.9995356435442888
0.03,0.8852882205513783,0.9996080435358312,0.9995467050214453
0.03,0.887781954887218,0.9996175727176368,0.9995575030453314
0.03,0.8902756892230576,0.9996268701893767,0.9995680438139418
0.03,0.8927694235588972,0.9996359416100606,0.9995783334813981
0.03,0.8952631578947368,0.9996447925460885,0.9995883780633219
0.03,0.8977568922305764,0.9996534282513607,0.9995981833554168
0.03,0.900250626566416,0.9996618540070115,0.9996077550581202
0.03,0.9027443609022556,0.9996700749307705,0.99961709878109
0.03,0.9052380952380952,0.999678095990674,0.9996262199104102
0.03,0.9077318295739347,0.9996859220553864,0.9996351237847483
0.03,0.9102255639097744,0.9996935578083952,0.9996438155167895
